,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
36676,20470,176,34,68,0.0,Chirp,1,5,1,-145.772
36677,20539,182,31,87,0.0,Chirp,1,5,1,0.876953125
36678,20471,176,34,68,0.001,Chirp,1,5,1,-145.76399999999998
36679,20539,182,31,87,0.001,Chirp,1,5,1,0.876953125
36680,20471,176,34,68,0.002,Chirp,1,5,1,-145.76399999999998
36681,20539,182,31,87,0.002,Chirp,1,5,1,0.876953125
36682,20473,176,34,68,0.003,Chirp,1,5,1,-145.76
36683,20539,182,31,87,0.003,Chirp,1,5,1,0.876953125
36684,20474,176,34,68,0.004,Chirp,1,5,1,-145.756
36685,20539,182,31,87,0.004,Chirp,1,5,1,0.876953125
36686,20475,176,34,68,0.005,Chirp,1,5,1,-145.752
36687,20539,182,31,87,0.005,Chirp,1,5,1,0.876953125
36688,20476,176,34,69,0.006,Chirp,1,5,1,-145.747
36689,20539,182,31,87,0.006,Chirp,1,5,1,0.876953125
36690,20477,176,34,68,0.007,Chirp,1,5,1,-145.74300000000002
36691,20539,182,31,87,0.007,Chirp,1,5,1,0.876953125
36692,20478,176,34,69,0.008,Chirp,1,5,1,-145.73800000000003
36693,20539,182,31,87,0.008,Chirp,1,5,1,0.876953125
36694,20479,176,34,69,0.009,Chirp,1,5,1,-145.73300000000003
36695,20539,182,31,87,0.009,Chirp,1,5,1,0.876953125
36696,20480,176,34,70,0.01,Chirp,1,5,1,-145.72700000000003
36697,20539,182,31,87,0.01,Chirp,1,5,1,0.876953125
36698,20481,176,34,70,0.011,Chirp,1,5,1,-145.72100000000003
36699,20539,182,31,87,0.011,Chirp,1,5,1,0.876953125
36700,20482,176,34,70,0.012,Chirp,1,5,1,-145.71500000000003
36701,20539,182,31,87,0.012,Chirp,1,5,1,0.876953125
36702,20483,176,34,69,0.013,Chirp,1,5,1,-145.71000000000004
36703,20539,182,31,87,0.013,Chirp,1,5,1,0.876953125
36704,20484,176,34,69,0.014,Chirp,1,5,1,-145.70500000000004
36705,20539,182,31,87,0.014,Chirp,1,5,1,0.876953125
36706,20485,176,34,69,0.015,Chirp,1,5,1,-145.70000000000005
36707,20539,182,31,87,0.015,Chirp,1,5,1,0.876953125
36708,20486,176,34,71,0.016,Chirp,1,5,1,-145.69300000000004
36709,20539,182,31,87,0.016,Chirp,1,5,1,0.876953125
36710,20487,176,34,70,0.017,Chirp,1,5,1,-145.68700000000004
36711,20539,182,31,87,0.017,Chirp,1,5,1,0.876953125
36712,20488,176,34,71,0.018,Chirp,1,5,1,-145.68000000000004
36713,20539,182,31,87,0.018,Chirp,1,5,1,0.876953125
36714,20489,176,34,70,0.019,Chirp,1,5,1,-145.67400000000004
36715,20539,182,31,87,0.019,Chirp,1,5,1,0.876953125
36716,20490,176,34,71,0.02,Chirp,1,5,1,-145.66700000000003
36717,20539,182,31,87,0.02,Chirp,1,5,1,0.876953125
36718,20491,176,34,71,0.021,Chirp,1,5,1,-145.66000000000005
36719,20539,182,31,87,0.021,Chirp,1,5,1,0.876953125
36720,20492,176,34,70,0.022,Chirp,1,5,1,-145.65400000000002
36721,20539,182,31,87,0.022,Chirp,1,5,1,0.876953125
36722,20493,176,34,70,0.023,Chirp,1,5,1,-145.64200000000002
36723,20539,182,31,87,0.023,Chirp,1,5,1,0.876953125
36724,20493,176,34,70,0.024,Chirp,1,5,1,-145.64200000000002
36725,20539,182,31,87,0.024,Chirp,1,5,1,0.876953125
36726,20495,176,34,71,0.025,Chirp,1,5,1,-145.63500000000002
36727,20539,182,31,87,0.025,Chirp,1,5,1,0.876953125
36728,20496,176,34,73,0.026,Chirp,1,5,1,-145.62600000000003
36729,20539,182,31,87,0.026,Chirp,1,5,1,0.876953125
36730,20497,176,34,71,0.027,Chirp,1,5,1,-145.61200000000002
36731,20539,182,31,87,0.027,Chirp,1,5,1,0.876953125
36732,20497,176,34,71,0.028,Chirp,1,5,1,-145.61200000000002
36733,20539,182,31,87,0.028,Chirp,1,5,1,0.876953125
36734,20499,176,34,72,0.029,Chirp,1,5,1,-145.604
36735,20539,182,31,87,0.029,Chirp,1,5,1,0.876953125
36736,20500,176,34,72,0.03,Chirp,1,5,1,-145.596
36737,20539,182,31,87,0.03,Chirp,1,5,1,0.876953125
