Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
144,54,127,0,Baby_Scratch,1,1
176,34,68,0,Baby_Scratch,1,1
176,34,68,0.001,Baby_Scratch,1,1
176,34,67,0.002,Baby_Scratch,1,1
176,34,70,0.003,Baby_Scratch,1,1
176,34,68,0.004,Baby_Scratch,1,1
176,34,69,0.005,Baby_Scratch,1,1
176,34,69,0.006,Baby_Scratch,1,1
176,34,69,0.007,Baby_Scratch,1,1
176,34,70,0.008,Baby_Scratch,1,1
176,34,70,0.01,Baby_Scratch,1,1
176,34,69,0.01,Baby_Scratch,1,1
176,34,69,0.011,Baby_Scratch,1,1
176,34,70,0.012,Baby_Scratch,1,1
176,34,71,0.013,Baby_Scratch,1,1
176,34,70,0.015,Baby_Scratch,1,1
176,34,70,0.015,Baby_Scratch,1,1
176,34,71,0.017,Baby_Scratch,1,1
176,34,70,0.017,Baby_Scratch,1,1
176,34,72,0.018,Baby_Scratch,1,1
176,34,71,0.019,Baby_Scratch,1,1
176,34,71,0.02,Baby_Scratch,1,1
176,34,71,0.021,Baby_Scratch,1,1
176,34,71,0.022,Baby_Scratch,1,1
176,34,71,0.023,Baby_Scratch,1,1
176,34,72,0.024,Baby_Scratch,1,1
176,34,71,0.025,Baby_Scratch,1,1
176,34,72,0.026,Baby_Scratch,1,1
176,34,71,0.027,Baby_Scratch,1,1
176,34,72,0.028,Baby_Scratch,1,1
176,34,74,0.029,Baby_Scratch,1,1
176,34,72,0.03,Baby_Scratch,1,1
176,34,72,0.031,Baby_Scratch,1,1
176,34,71,0.032,Baby_Scratch,1,1
176,34,72,0.034,Baby_Scratch,1,1
176,34,74,0.034,Baby_Scratch,1,1
176,34,72,0.035,Baby_Scratch,1,1
176,34,73,0.036,Baby_Scratch,1,1
176,34,72,0.037,Baby_Scratch,1,1
176,34,73,0.039,Baby_Scratch,1,1
176,34,74,0.039,Baby_Scratch,1,1
176,34,73,0.04,Baby_Scratch,1,1
176,34,73,0.041,Baby_Scratch,1,1
176,34,72,0.042,Baby_Scratch,1,1
176,34,73,0.043,Baby_Scratch,1,1
176,34,75,0.044,Baby_Scratch,1,1
176,34,73,0.045,Baby_Scratch,1,1
176,34,73,0.046,Baby_Scratch,1,1
176,34,73,0.047,Baby_Scratch,1,1
176,34,74,0.048,Baby_Scratch,1,1
176,34,75,0.05,Baby_Scratch,1,1
176,34,73,0.05,Baby_Scratch,1,1
176,34,73,0.051,Baby_Scratch,1,1
176,34,73,0.052,Baby_Scratch,1,1
176,34,74,0.053,Baby_Scratch,1,1
176,34,75,0.054,Baby_Scratch,1,1
176,34,73,0.055,Baby_Scratch,1,1
176,34,74,0.056,Baby_Scratch,1,1
176,34,74,0.057,Baby_Scratch,1,1
176,34,74,0.058,Baby_Scratch,1,1
176,34,76,0.06,Baby_Scratch,1,1
176,34,73,0.06,Baby_Scratch,1,1
176,34,74,0.062,Baby_Scratch,1,1
176,34,75,0.062,Baby_Scratch,1,1
176,34,74,0.063,Baby_Scratch,1,1
176,34,77,0.064,Baby_Scratch,1,1
176,34,74,0.065,Baby_Scratch,1,1
176,34,74,0.067,Baby_Scratch,1,1
176,34,74,0.067,Baby_Scratch,1,1
176,34,75,0.068,Baby_Scratch,1,1
