Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
144,54,127,0,Chirp,1,1
176,34,66,0,Chirp,1,1
176,34,67,0.001,Chirp,1,1
176,34,68,0.002,Chirp,1,1
176,34,67,0.003,Chirp,1,1
176,34,68,0.004,Chirp,1,1
176,34,68,0.006,Chirp,1,1
176,34,68,0.006,Chirp,1,1
176,34,70,0.007,Chirp,1,1
176,34,70,0.008,Chirp,1,1
176,34,70,0.009,Chirp,1,1
176,34,71,0.01,Chirp,1,1
176,34,72,0.011,Chirp,1,1
176,34,73,0.012,Chirp,1,1
176,34,71,0.013,Chirp,1,1
176,34,71,0.014,Chirp,1,1
176,34,72,0.015,Chirp,1,1
176,34,72,0.016,Chirp,1,1
176,34,74,0.017,Chirp,1,1
176,34,72,0.018,Chirp,1,1
176,34,73,0.019,Chirp,1,1
176,34,74,0.02,Chirp,1,1
176,34,74,0.021,Chirp,1,1
176,34,75,0.022,Chirp,1,1
176,34,73,0.023,Chirp,1,1
176,34,73,0.024,Chirp,1,1
176,34,75,0.025,Chirp,1,1
176,34,75,0.026,Chirp,1,1
176,34,77,0.027,Chirp,1,1
176,34,74,0.028,Chirp,1,1
176,34,75,0.029,Chirp,1,1
176,34,74,0.03,Chirp,1,1
176,34,75,0.031,Chirp,1,1
176,34,77,0.032,Chirp,1,1
176,34,75,0.033,Chirp,1,1
176,34,76,0.035,Chirp,1,1
176,34,76,0.035,Chirp,1,1
176,34,76,0.036,Chirp,1,1
176,34,78,0.037,Chirp,1,1
176,34,75,0.038,Chirp,1,1
176,34,75,0.039,Chirp,1,1
176,34,76,0.04,Chirp,1,1
176,34,77,0.041,Chirp,1,1
176,34,78,0.042,Chirp,1,1
176,34,76,0.043,Chirp,1,1
176,34,76,0.044,Chirp,1,1
176,34,76,0.045,Chirp,1,1
176,34,76,0.046,Chirp,1,1
176,34,79,0.047,Chirp,1,1
176,34,76,0.048,Chirp,1,1
176,34,76,0.049,Chirp,1,1
176,34,77,0.05,Chirp,1,1
176,34,75,0.052,Chirp,1,1
176,34,76,0.052,Chirp,1,1
176,34,79,0.053,Chirp,1,1
176,34,76,0.054,Chirp,1,1
176,34,76,0.055,Chirp,1,1
176,34,77,0.056,Chirp,1,1
176,34,76,0.057,Chirp,1,1
176,34,79,0.058,Chirp,1,1
176,34,76,0.059,Chirp,1,1
176,34,76,0.06,Chirp,1,1
182,31,114,0.061,Chirp,1,1
182,63,125,0.061,Chirp,1,1
176,34,77,0.061,Chirp,1,1
182,31,115,0.062,Chirp,1,1
182,63,62,0.062,Chirp,1,1
176,34,76,0.062,Chirp,1,1
182,31,116,0.063,Chirp,1,1
182,63,30,0.063,Chirp,1,1
176,34,79,0.063,Chirp,1,1
182,31,117,0.064,Chirp,1,1
182,63,30,0.064,Chirp,1,1
176,34,76,0.064,Chirp,1,1
182,31,118,0.065,Chirp,1,1
182,63,62,0.065,Chirp,1,1
176,34,76,0.065,Chirp,1,1
182,31,119,0.066,Chirp,1,1
182,63,126,0.066,Chirp,1,1
176,34,77,0.066,Chirp,1,1
182,31,121,0.067,Chirp,1,1
182,63,14,0.067,Chirp,1,1
176,34,76,0.067,Chirp,1,1
182,31,122,0.068,Chirp,1,1
182,63,46,0.068,Chirp,1,1
176,34,79,0.068,Chirp,1,1
182,31,123,0.069,Chirp,1,1
182,63,95,0.069,Chirp,1,1
176,34,77,0.069,Chirp,1,1
182,31,124,0.07,Chirp,1,1
182,63,111,0.07,Chirp,1,1
176,34,76,0.07,Chirp,1,1
182,31,126,0.071,Chirp,1,1
182,63,79,0.071,Chirp,1,1
176,34,76,0.071,Chirp,1,1
182,31,127,0.072,Chirp,1,1
182,63,63,0.072,Chirp,1,1
176,34,77,0.072,Chirp,1,1
182,31,127,0.073,Chirp,1,1
182,63,127,0.073,Chirp,1,1
176,34,79,0.073,Chirp,1,1
176,34,77,0.074,Chirp,1,1
176,34,76,0.076,Chirp,1,1
176,34,76,0.076,Chirp,1,1
176,34,77,0.077,Chirp,1,1
176,34,80,0.078,Chirp,1,1
176,34,76,0.079,Chirp,1,1
176,34,76,0.08,Chirp,1,1
176,34,77,0.081,Chirp,1,1
176,34,77,0.082,Chirp,1,1
176,34,79,0.083,Chirp,1,1
176,34,77,0.084,Chirp,1,1
176,34,77,0.085,Chirp,1,1
176,34,76,0.086,Chirp,1,1
176,34,77,0.087,Chirp,1,1
176,34,79,0.088,Chirp,1,1
176,34,77,0.089,Chirp,1,1
176,34,77,0.09,Chirp,1,1
176,34,76,0.091,Chirp,1,1
176,34,77,0.092,Chirp,1,1
176,34,77,0.093,Chirp,1,1
176,34,79,0.094,Chirp,1,1
176,34,77,0.095,Chirp,1,1
176,34,76,0.096,Chirp,1,1
176,34,76,0.097,Chirp,1,1
176,34,77,0.098,Chirp,1,1
176,34,79,0.099,Chirp,1,1
176,34,76,0.1,Chirp,1,1
176,34,76,0.101,Chirp,1,1
176,34,76,0.102,Chirp,1,1
176,34,76,0.103,Chirp,1,1
176,34,79,0.104,Chirp,1,1
176,34,76,0.105,Chirp,1,1
176,34,76,0.106,Chirp,1,1
176,34,75,0.107,Chirp,1,1
176,34,76,0.108,Chirp,1,1
176,34,76,0.109,Chirp,1,1
176,34,75,0.11,Chirp,1,1
176,34,75,0.111,Chirp,1,1
176,34,76,0.112,Chirp,1,1
176,34,75,0.113,Chirp,1,1
176,34,77,0.114,Chirp,1,1
176,34,75,0.115,Chirp,1,1
176,34,74,0.116,Chirp,1,1
176,34,75,0.117,Chirp,1,1
176,34,73,0.118,Chirp,1,1
176,34,76,0.119,Chirp,1,1
176,34,74,0.12,Chirp,1,1
176,34,74,0.121,Chirp,1,1
176,34,74,0.122,Chirp,1,1
176,34,74,0.123,Chirp,1,1
176,34,76,0.125,Chirp,1,1
176,34,73,0.125,Chirp,1,1
176,34,74,0.126,Chirp,1,1
176,34,74,0.127,Chirp,1,1
176,34,73,0.128,Chirp,1,1
176,34,75,0.129,Chirp,1,1
176,34,73,0.13,Chirp,1,1
176,34,73,0.131,Chirp,1,1
176,34,73,0.132,Chirp,1,1
176,34,73,0.133,Chirp,1,1
176,34,74,0.134,Chirp,1,1
176,34,72,0.135,Chirp,1,1
176,34,73,0.136,Chirp,1,1
176,34,72,0.137,Chirp,1,1
176,34,72,0.138,Chirp,1,1
176,34,73,0.139,Chirp,1,1
176,34,72,0.14,Chirp,1,1
176,34,72,0.141,Chirp,1,1
176,34,71,0.142,Chirp,1,1
176,34,72,0.143,Chirp,1,1
176,34,73,0.144,Chirp,1,1
176,34,71,0.145,Chirp,1,1
176,34,71,0.146,Chirp,1,1
176,34,71,0.148,Chirp,1,1
176,34,71,0.148,Chirp,1,1
176,34,71,0.149,Chirp,1,1
176,34,71,0.15,Chirp,1,1
176,34,70,0.151,Chirp,1,1
176,34,70,0.152,Chirp,1,1
176,34,70,0.154,Chirp,1,1
176,34,70,0.154,Chirp,1,1
176,34,71,0.155,Chirp,1,1
176,34,70,0.156,Chirp,1,1
176,34,69,0.157,Chirp,1,1
176,34,70,0.158,Chirp,1,1
176,34,69,0.159,Chirp,1,1
176,34,70,0.16,Chirp,1,1
176,34,69,0.161,Chirp,1,1
176,34,69,0.162,Chirp,1,1
176,34,68,0.163,Chirp,1,1
176,34,69,0.164,Chirp,1,1
176,34,69,0.165,Chirp,1,1
176,34,68,0.166,Chirp,1,1
176,34,68,0.167,Chirp,1,1
176,34,68,0.168,Chirp,1,1
176,34,67,0.169,Chirp,1,1
176,34,69,0.17,Chirp,1,1
176,34,67,0.171,Chirp,1,1
176,34,67,0.172,Chirp,1,1
176,34,68,0.174,Chirp,1,1
176,34,67,0.174,Chirp,1,1
176,34,67,0.175,Chirp,1,1
176,34,67,0.176,Chirp,1,1
176,34,66,0.177,Chirp,1,1
176,34,67,0.178,Chirp,1,1
176,34,66,0.179,Chirp,1,1
176,34,66,0.18,Chirp,1,1
176,34,66,0.181,Chirp,1,1
176,34,66,0.182,Chirp,1,1
176,34,65,0.183,Chirp,1,1
176,34,66,0.184,Chirp,1,1
176,34,65,0.185,Chirp,1,1
176,34,65,0.186,Chirp,1,1
176,34,65,0.187,Chirp,1,1
176,34,65,0.188,Chirp,1,1
176,34,65,0.19,Chirp,1,1
176,34,63,0.193,Chirp,1,1
176,34,63,0.196,Chirp,1,1
176,34,63,0.197,Chirp,1,1
176,34,63,0.198,Chirp,1,1
176,34,63,0.199,Chirp,1,1
176,34,63,0.2,Chirp,1,1
176,34,63,0.201,Chirp,1,1
176,34,63,0.202,Chirp,1,1
176,34,63,0.204,Chirp,1,1
176,34,62,0.204,Chirp,1,1
176,34,63,0.205,Chirp,1,1
176,34,62,0.207,Chirp,1,1
176,34,62,0.208,Chirp,1,1
176,34,62,0.209,Chirp,1,1
176,34,61,0.209,Chirp,1,1
176,34,62,0.211,Chirp,1,1
176,34,60,0.212,Chirp,1,1
176,34,61,0.213,Chirp,1,1
176,34,61,0.214,Chirp,1,1
176,34,61,0.215,Chirp,1,1
176,34,61,0.215,Chirp,1,1
176,34,60,0.216,Chirp,1,1
176,34,60,0.218,Chirp,1,1
176,34,60,0.218,Chirp,1,1
176,34,60,0.219,Chirp,1,1
176,34,59,0.22,Chirp,1,1
176,34,59,0.221,Chirp,1,1
176,34,60,0.223,Chirp,1,1
176,34,60,0.224,Chirp,1,1
176,34,59,0.225,Chirp,1,1
176,34,59,0.226,Chirp,1,1
176,34,58,0.226,Chirp,1,1
176,34,58,0.228,Chirp,1,1
176,34,59,0.229,Chirp,1,1
176,34,58,0.23,Chirp,1,1
176,34,58,0.231,Chirp,1,1
176,34,57,0.231,Chirp,1,1
176,34,57,0.232,Chirp,1,1
176,34,57,0.234,Chirp,1,1
176,34,57,0.234,Chirp,1,1
176,34,56,0.236,Chirp,1,1
176,34,55,0.237,Chirp,1,1
176,34,56,0.238,Chirp,1,1
176,34,56,0.239,Chirp,1,1
176,34,55,0.24,Chirp,1,1
176,34,56,0.241,Chirp,1,1
176,34,55,0.242,Chirp,1,1
176,34,53,0.243,Chirp,1,1
176,34,54,0.244,Chirp,1,1
176,34,55,0.244,Chirp,1,1
176,34,54,0.246,Chirp,1,1
176,34,54,0.247,Chirp,1,1
176,34,52,0.247,Chirp,1,1
176,34,54,0.248,Chirp,1,1
176,34,53,0.25,Chirp,1,1
176,34,53,0.251,Chirp,1,1
176,34,53,0.252,Chirp,1,1
176,34,51,0.253,Chirp,1,1
176,34,52,0.254,Chirp,1,1
176,34,53,0.255,Chirp,1,1
176,34,52,0.255,Chirp,1,1
176,34,52,0.256,Chirp,1,1
176,34,49,0.258,Chirp,1,1
176,34,52,0.258,Chirp,1,1
176,34,52,0.259,Chirp,1,1
176,34,52,0.261,Chirp,1,1
176,34,52,0.262,Chirp,1,1
176,34,49,0.263,Chirp,1,1
176,34,51,0.264,Chirp,1,1
176,34,51,0.264,Chirp,1,1
176,34,52,0.266,Chirp,1,1
176,34,51,0.267,Chirp,1,1
176,34,48,0.268,Chirp,1,1
176,34,51,0.268,Chirp,1,1
176,34,50,0.27,Chirp,1,1
176,34,49,0.271,Chirp,1,1
176,34,50,0.272,Chirp,1,1
176,34,48,0.273,Chirp,1,1
176,34,51,0.274,Chirp,1,1
176,34,49,0.275,Chirp,1,1
176,34,50,0.276,Chirp,1,1
176,34,50,0.277,Chirp,1,1
176,34,46,0.278,Chirp,1,1
176,34,50,0.279,Chirp,1,1
176,34,49,0.28,Chirp,1,1
176,34,49,0.281,Chirp,1,1
176,34,50,0.282,Chirp,1,1
176,34,46,0.283,Chirp,1,1
176,34,49,0.284,Chirp,1,1
176,34,49,0.284,Chirp,1,1
182,31,127,0.285,Chirp,1,1
182,63,95,0.285,Chirp,1,1
176,34,48,0.285,Chirp,1,1
182,31,126,0.287,Chirp,1,1
182,63,111,0.287,Chirp,1,1
176,34,49,0.287,Chirp,1,1
182,31,126,0.288,Chirp,1,1
182,63,63,0.288,Chirp,1,1
176,34,46,0.288,Chirp,1,1
182,31,125,0.288,Chirp,1,1
182,63,111,0.288,Chirp,1,1
176,34,48,0.288,Chirp,1,1
182,31,124,0.289,Chirp,1,1
182,63,127,0.289,Chirp,1,1
176,34,49,0.289,Chirp,1,1
182,31,124,0.291,Chirp,1,1
182,63,79,0.291,Chirp,1,1
176,34,48,0.291,Chirp,1,1
182,31,123,0.292,Chirp,1,1
182,63,127,0.292,Chirp,1,1
176,34,48,0.292,Chirp,1,1
182,31,123,0.293,Chirp,1,1
182,63,62,0.293,Chirp,1,1
176,34,46,0.293,Chirp,1,1
182,31,122,0.294,Chirp,1,1
182,63,110,0.294,Chirp,1,1
176,34,48,0.294,Chirp,1,1
182,31,122,0.295,Chirp,1,1
182,63,46,0.295,Chirp,1,1
176,34,49,0.295,Chirp,1,1
182,31,121,0.296,Chirp,1,1
182,63,110,0.296,Chirp,1,1
176,34,48,0.296,Chirp,1,1
182,31,121,0.296,Chirp,1,1
182,63,30,0.296,Chirp,1,1
176,34,48,0.296,Chirp,1,1
182,31,120,0.298,Chirp,1,1
182,63,110,0.298,Chirp,1,1
176,34,48,0.298,Chirp,1,1
182,31,120,0.298,Chirp,1,1
182,63,62,0.298,Chirp,1,1
176,34,46,0.298,Chirp,1,1
182,31,119,0.3,Chirp,1,1
182,63,126,0.3,Chirp,1,1
176,34,48,0.3,Chirp,1,1
182,31,119,0.301,Chirp,1,1
182,63,30,0.301,Chirp,1,1
176,34,49,0.301,Chirp,1,1
182,31,118,0.302,Chirp,1,1
182,63,78,0.302,Chirp,1,1
176,34,48,0.302,Chirp,1,1
182,31,118,0.303,Chirp,1,1
182,63,14,0.303,Chirp,1,1
176,34,49,0.303,Chirp,1,1
182,31,117,0.303,Chirp,1,1
182,63,94,0.303,Chirp,1,1
176,34,45,0.303,Chirp,1,1
182,31,117,0.304,Chirp,1,1
182,63,30,0.304,Chirp,1,1
176,34,49,0.304,Chirp,1,1
182,31,116,0.305,Chirp,1,1
182,63,94,0.305,Chirp,1,1
176,34,49,0.305,Chirp,1,1
182,31,116,0.306,Chirp,1,1
182,63,14,0.306,Chirp,1,1
176,34,49,0.306,Chirp,1,1
182,31,115,0.307,Chirp,1,1
182,63,78,0.307,Chirp,1,1
176,34,48,0.307,Chirp,1,1
182,31,114,0.308,Chirp,1,1
182,63,125,0.308,Chirp,1,1
176,34,45,0.308,Chirp,1,1
182,31,114,0.309,Chirp,1,1
182,63,93,0.309,Chirp,1,1
176,34,49,0.309,Chirp,1,1
182,31,114,0.31,Chirp,1,1
182,63,29,0.31,Chirp,1,1
