Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
144,54,127,0,Flare,1,1
176,34,70,0,Flare,1,1
176,34,70,0.001,Flare,1,1
176,34,71,0.002,Flare,1,1
176,34,71,0.003,Flare,1,1
176,34,70,0.004,Flare,1,1
176,34,71,0.005,Flare,1,1
176,34,71,0.006,Flare,1,1
176,34,70,0.007,Flare,1,1
176,34,73,0.008,Flare,1,1
176,34,71,0.009,Flare,1,1
176,34,71,0.01,Flare,1,1
176,34,71,0.011,Flare,1,1
176,34,72,0.013,Flare,1,1
176,34,72,0.013,Flare,1,1
176,34,72,0.014,Flare,1,1
176,34,72,0.015,Flare,1,1
176,34,71,0.016,Flare,1,1
176,34,72,0.017,Flare,1,1
176,34,73,0.018,Flare,1,1
176,34,72,0.019,Flare,1,1
176,34,72,0.02,Flare,1,1
176,34,72,0.021,Flare,1,1
176,34,72,0.022,Flare,1,1
176,34,74,0.023,Flare,1,1
176,34,73,0.024,Flare,1,1
176,34,71,0.025,Flare,1,1
176,34,73,0.026,Flare,1,1
176,34,72,0.027,Flare,1,1
176,34,74,0.028,Flare,1,1
176,34,72,0.029,Flare,1,1
176,34,73,0.03,Flare,1,1
176,34,73,0.031,Flare,1,1
176,34,74,0.032,Flare,1,1
176,34,75,0.033,Flare,1,1
176,34,73,0.034,Flare,1,1
176,34,73,0.035,Flare,1,1
176,34,72,0.036,Flare,1,1
176,34,73,0.037,Flare,1,1
176,34,76,0.038,Flare,1,1
176,34,74,0.039,Flare,1,1
176,34,74,0.04,Flare,1,1
176,34,74,0.041,Flare,1,1
176,34,73,0.042,Flare,1,1
176,34,75,0.044,Flare,1,1
176,34,73,0.044,Flare,1,1
176,34,74,0.045,Flare,1,1
176,34,74,0.046,Flare,1,1
176,34,74,0.047,Flare,1,1
176,34,77,0.048,Flare,1,1
176,34,74,0.049,Flare,1,1
176,34,75,0.05,Flare,1,1
176,34,74,0.051,Flare,1,1
176,34,72,0.052,Flare,1,1
176,34,74,0.053,Flare,1,1
176,34,75,0.054,Flare,1,1
176,34,76,0.055,Flare,1,1
176,34,74,0.056,Flare,1,1
176,34,74,0.057,Flare,1,1
176,34,74,0.058,Flare,1,1
176,34,76,0.059,Flare,1,1
176,34,74,0.061,Flare,1,1
176,34,75,0.062,Flare,1,1
176,34,74,0.062,Flare,1,1
176,34,74,0.063,Flare,1,1
176,34,76,0.064,Flare,1,1
176,34,74,0.065,Flare,1,1
176,34,74,0.066,Flare,1,1
176,34,73,0.067,Flare,1,1
176,34,74,0.068,Flare,1,1
176,34,76,0.069,Flare,1,1
176,34,74,0.07,Flare,1,1
176,34,74,0.071,Flare,1,1
176,34,73,0.072,Flare,1,1
176,34,74,0.073,Flare,1,1
176,34,74,0.074,Flare,1,1
176,34,73,0.075,Flare,1,1
176,34,73,0.076,Flare,1,1
176,34,74,0.077,Flare,1,1
176,34,73,0.078,Flare,1,1
176,34,74,0.079,Flare,1,1
176,34,73,0.08,Flare,1,1
176,34,73,0.081,Flare,1,1
176,34,72,0.082,Flare,1,1
176,34,72,0.083,Flare,1,1
182,31,105,0.084,Flare,1,1
182,63,108,0.084,Flare,1,1
176,34,73,0.084,Flare,1,1
182,31,106,0.085,Flare,1,1
182,63,60,0.085,Flare,1,1
176,34,72,0.085,Flare,1,1
182,31,107,0.086,Flare,1,1
182,63,125,0.086,Flare,1,1
176,34,72,0.086,Flare,1,1
182,31,110,0.088,Flare,1,1
182,63,13,0.088,Flare,1,1
176,34,72,0.088,Flare,1,1
182,31,112,0.088,Flare,1,1
182,63,13,0.088,Flare,1,1
176,34,72,0.088,Flare,1,1
182,31,114,0.089,Flare,1,1
182,63,29,0.089,Flare,1,1
176,34,74,0.089,Flare,1,1
182,31,116,0.09,Flare,1,1
182,63,30,0.09,Flare,1,1
176,34,71,0.09,Flare,1,1
182,31,118,0.092,Flare,1,1
182,63,62,0.092,Flare,1,1
176,34,72,0.092,Flare,1,1
182,31,120,0.092,Flare,1,1
182,63,126,0.092,Flare,1,1
176,34,71,0.092,Flare,1,1
182,31,123,0.093,Flare,1,1
182,63,14,0.093,Flare,1,1
176,34,70,0.093,Flare,1,1
182,31,124,0.094,Flare,1,1
182,63,127,0.094,Flare,1,1
176,34,71,0.094,Flare,1,1
182,31,127,0.095,Flare,1,1
182,63,15,0.095,Flare,1,1
176,34,71,0.095,Flare,1,1
182,31,127,0.096,Flare,1,1
182,63,127,0.096,Flare,1,1
176,34,70,0.096,Flare,1,1
176,34,71,0.097,Flare,1,1
176,34,70,0.098,Flare,1,1
176,34,72,0.099,Flare,1,1
