Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
144,54,127,0,Stab,1,1
176,34,66,0.048,Stab,1,1
176,34,66,0.049,Stab,1,1
176,34,66,0.05,Stab,1,1
176,34,67,0.051,Stab,1,1
176,34,67,0.052,Stab,1,1
176,34,67,0.054,Stab,1,1
176,34,67,0.054,Stab,1,1
176,34,67,0.055,Stab,1,1
176,34,68,0.057,Stab,1,1
176,34,68,0.057,Stab,1,1
176,34,68,0.058,Stab,1,1
176,34,68,0.06,Stab,1,1
176,34,69,0.06,Stab,1,1
176,34,69,0.061,Stab,1,1
176,34,70,0.062,Stab,1,1
176,34,70,0.063,Stab,1,1
176,34,70,0.064,Stab,1,1
176,34,70,0.065,Stab,1,1
176,34,71,0.066,Stab,1,1
176,34,74,0.068,Stab,1,1
176,34,72,0.068,Stab,1,1
176,34,72,0.07,Stab,1,1
176,34,73,0.07,Stab,1,1
176,34,72,0.071,Stab,1,1
176,34,74,0.072,Stab,1,1
176,34,74,0.073,Stab,1,1
176,34,75,0.074,Stab,1,1
176,34,75,0.075,Stab,1,1
176,34,75,0.076,Stab,1,1
176,34,75,0.077,Stab,1,1
176,34,77,0.078,Stab,1,1
176,34,75,0.079,Stab,1,1
182,31,127,0.08,Stab,1,1
182,63,111,0.08,Stab,1,1
176,34,77,0.08,Stab,1,1
182,31,125,0.081,Stab,1,1
182,63,47,0.081,Stab,1,1
176,34,78,0.081,Stab,1,1
182,31,122,0.083,Stab,1,1
182,63,110,0.083,Stab,1,1
176,34,78,0.083,Stab,1,1
182,31,120,0.083,Stab,1,1
182,63,78,0.083,Stab,1,1
176,34,80,0.083,Stab,1,1
182,31,118,0.084,Stab,1,1
182,63,78,0.084,Stab,1,1
176,34,78,0.084,Stab,1,1
182,31,116,0.085,Stab,1,1
182,63,62,0.085,Stab,1,1
182,31,114,0.085,Stab,1,1
176,34,79,0.085,Stab,1,1
182,63,93,0.086,Stab,1,1
176,34,80,0.086,Stab,1,1
182,31,113,0.087,Stab,1,1
182,63,45,0.087,Stab,1,1
176,34,79,0.087,Stab,1,1
182,31,111,0.088,Stab,1,1
182,63,125,0.088,Stab,1,1
176,34,84,0.088,Stab,1,1
182,31,110,0.089,Stab,1,1
182,63,61,0.089,Stab,1,1
176,34,80,0.089,Stab,1,1
182,31,108,0.09,Stab,1,1
182,63,125,0.09,Stab,1,1
