,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
1,176,34,68,0.0,Baby_Scratch,1,1,1,0.0
1,182,34,68,0.0,Baby_Scratch,1,1,1,1.0
2,176,34,68,0.001,Baby_Scratch,1,1,1,0.004
2,182,34,68,0.001,Baby_Scratch,1,1,1,1.0
3,176,34,67,0.002,Baby_Scratch,1,1,1,0.007
3,182,34,67,0.002,Baby_Scratch,1,1,1,1.0
4,176,34,70,0.003,Baby_Scratch,1,1,1,0.013000000000000001
4,182,34,70,0.003,Baby_Scratch,1,1,1,1.0
5,176,34,68,0.004,Baby_Scratch,1,1,1,0.017
5,182,34,68,0.004,Baby_Scratch,1,1,1,1.0
6,176,34,69,0.005,Baby_Scratch,1,1,1,0.022000000000000002
6,182,34,69,0.005,Baby_Scratch,1,1,1,1.0
7,176,34,69,0.006,Baby_Scratch,1,1,1,0.027000000000000003
7,182,34,69,0.006,Baby_Scratch,1,1,1,1.0
8,176,34,69,0.007,Baby_Scratch,1,1,1,0.032
8,182,34,69,0.007,Baby_Scratch,1,1,1,1.0
9,176,34,70,0.008,Baby_Scratch,1,1,1,0.038
9,182,34,70,0.008,Baby_Scratch,1,1,1,1.0
9,176,34,70,0.009000000000000001,Baby_Scratch,1,1,1,0.038
9,182,34,70,0.008,Baby_Scratch,1,1,1,1.0
10,176,34,70,0.01,Baby_Scratch,1,1,1,0.05
10,182,34,70,0.01,Baby_Scratch,1,1,1,1.0
12,176,34,69,0.011,Baby_Scratch,1,1,1,0.055
12,182,34,69,0.011,Baby_Scratch,1,1,1,1.0
13,176,34,70,0.012,Baby_Scratch,1,1,1,0.061000000000000006
13,182,34,70,0.012,Baby_Scratch,1,1,1,1.0
14,176,34,71,0.013,Baby_Scratch,1,1,1,0.068
14,182,34,71,0.013,Baby_Scratch,1,1,1,1.0
14,176,34,71,0.014,Baby_Scratch,1,1,1,0.068
14,182,34,71,0.013,Baby_Scratch,1,1,1,1.0
15,176,34,70,0.015,Baby_Scratch,1,1,1,0.08
15,182,34,70,0.015,Baby_Scratch,1,1,1,1.0
15,176,34,70,0.016,Baby_Scratch,1,1,1,0.08
15,182,34,70,0.015,Baby_Scratch,1,1,1,1.0
17,176,34,71,0.017,Baby_Scratch,1,1,1,0.09400000000000001
17,182,34,71,0.017,Baby_Scratch,1,1,1,1.0
19,176,34,72,0.018,Baby_Scratch,1,1,1,0.102
19,182,34,72,0.018,Baby_Scratch,1,1,1,1.0
20,176,34,71,0.019,Baby_Scratch,1,1,1,0.109
20,182,34,71,0.019,Baby_Scratch,1,1,1,1.0
21,176,34,71,0.02,Baby_Scratch,1,1,1,0.116
21,182,34,71,0.02,Baby_Scratch,1,1,1,1.0
22,176,34,71,0.021,Baby_Scratch,1,1,1,0.12300000000000001
22,182,34,71,0.021,Baby_Scratch,1,1,1,1.0
23,176,34,71,0.022,Baby_Scratch,1,1,1,0.13
23,182,34,71,0.022,Baby_Scratch,1,1,1,1.0
24,176,34,71,0.023,Baby_Scratch,1,1,1,0.137
24,182,34,71,0.023,Baby_Scratch,1,1,1,1.0
25,176,34,72,0.024,Baby_Scratch,1,1,1,0.14500000000000002
25,182,34,72,0.024,Baby_Scratch,1,1,1,1.0
26,176,34,71,0.025,Baby_Scratch,1,1,1,0.15200000000000002
26,182,34,71,0.025,Baby_Scratch,1,1,1,1.0
27,176,34,72,0.026,Baby_Scratch,1,1,1,0.16
27,182,34,72,0.026,Baby_Scratch,1,1,1,1.0
28,176,34,71,0.027,Baby_Scratch,1,1,1,0.167
28,182,34,71,0.027,Baby_Scratch,1,1,1,1.0
29,176,34,72,0.028,Baby_Scratch,1,1,1,0.17500000000000002
29,182,34,72,0.028,Baby_Scratch,1,1,1,1.0
30,176,34,74,0.029,Baby_Scratch,1,1,1,0.18500000000000003
30,182,34,74,0.029,Baby_Scratch,1,1,1,1.0
31,176,34,72,0.03,Baby_Scratch,1,1,1,0.193
31,182,34,72,0.03,Baby_Scratch,1,1,1,1.0
32,176,34,72,0.031,Baby_Scratch,1,1,1,0.201
32,182,34,72,0.031,Baby_Scratch,1,1,1,1.0
33,176,34,71,0.032,Baby_Scratch,1,1,1,0.20800000000000002
33,182,34,71,0.032,Baby_Scratch,1,1,1,1.0
33,176,34,71,0.033,Baby_Scratch,1,1,1,0.20800000000000002
33,182,34,71,0.032,Baby_Scratch,1,1,1,1.0
34,176,34,72,0.034,Baby_Scratch,1,1,1,0.22400000000000003
34,182,34,72,0.034,Baby_Scratch,1,1,1,1.0
36,176,34,72,0.035,Baby_Scratch,1,1,1,0.23200000000000004
36,182,34,72,0.035,Baby_Scratch,1,1,1,1.0
37,176,34,73,0.036,Baby_Scratch,1,1,1,0.241
37,182,34,73,0.036,Baby_Scratch,1,1,1,1.0
38,176,34,72,0.037,Baby_Scratch,1,1,1,0.249
38,182,34,72,0.037,Baby_Scratch,1,1,1,1.0
38,176,34,72,0.038,Baby_Scratch,1,1,1,0.249
38,182,34,72,0.037,Baby_Scratch,1,1,1,1.0
39,176,34,73,0.039,Baby_Scratch,1,1,1,0.267
39,182,34,73,0.039,Baby_Scratch,1,1,1,1.0
41,176,34,73,0.04,Baby_Scratch,1,1,1,0.276
41,182,34,73,0.04,Baby_Scratch,1,1,1,1.0
42,176,34,73,0.041,Baby_Scratch,1,1,1,0.28500000000000003
42,182,34,73,0.041,Baby_Scratch,1,1,1,1.0
43,176,34,72,0.042,Baby_Scratch,1,1,1,0.29300000000000004
43,182,34,72,0.042,Baby_Scratch,1,1,1,1.0
44,176,34,73,0.043,Baby_Scratch,1,1,1,0.302
44,182,34,73,0.043,Baby_Scratch,1,1,1,1.0
45,176,34,75,0.044,Baby_Scratch,1,1,1,0.313
45,182,34,75,0.044,Baby_Scratch,1,1,1,1.0
46,176,34,73,0.045,Baby_Scratch,1,1,1,0.322
46,182,34,73,0.045,Baby_Scratch,1,1,1,1.0
47,176,34,73,0.046,Baby_Scratch,1,1,1,0.331
47,182,34,73,0.046,Baby_Scratch,1,1,1,1.0
48,176,34,73,0.047,Baby_Scratch,1,1,1,0.34
48,182,34,73,0.047,Baby_Scratch,1,1,1,1.0
49,176,34,74,0.048,Baby_Scratch,1,1,1,0.35000000000000003
49,182,34,74,0.048,Baby_Scratch,1,1,1,1.0
49,176,34,74,0.049,Baby_Scratch,1,1,1,0.35000000000000003
49,182,34,74,0.048,Baby_Scratch,1,1,1,1.0
50,176,34,75,0.05,Baby_Scratch,1,1,1,0.37200000000000005
50,182,34,75,0.05,Baby_Scratch,1,1,1,1.0
52,176,34,73,0.051,Baby_Scratch,1,1,1,0.381
52,182,34,73,0.051,Baby_Scratch,1,1,1,1.0
53,176,34,73,0.052,Baby_Scratch,1,1,1,0.39
53,182,34,73,0.052,Baby_Scratch,1,1,1,1.0
54,176,34,74,0.053,Baby_Scratch,1,1,1,0.4
54,182,34,74,0.053,Baby_Scratch,1,1,1,1.0
55,176,34,75,0.054,Baby_Scratch,1,1,1,0.41100000000000003
55,182,34,75,0.054,Baby_Scratch,1,1,1,1.0
56,176,34,73,0.055,Baby_Scratch,1,1,1,0.42000000000000004
56,182,34,73,0.055,Baby_Scratch,1,1,1,1.0
57,176,34,74,0.056,Baby_Scratch,1,1,1,0.43000000000000005
57,182,34,74,0.056,Baby_Scratch,1,1,1,1.0
58,176,34,74,0.057,Baby_Scratch,1,1,1,0.44000000000000006
58,182,34,74,0.057,Baby_Scratch,1,1,1,1.0
59,176,34,74,0.058,Baby_Scratch,1,1,1,0.45000000000000007
59,182,34,74,0.058,Baby_Scratch,1,1,1,1.0
59,176,34,74,0.059000000000000004,Baby_Scratch,1,1,1,0.45000000000000007
59,182,34,74,0.058,Baby_Scratch,1,1,1,1.0
60,176,34,76,0.06,Baby_Scratch,1,1,1,0.474
60,182,34,76,0.06,Baby_Scratch,1,1,1,1.0
60,176,34,76,0.061,Baby_Scratch,1,1,1,0.474
60,182,34,76,0.06,Baby_Scratch,1,1,1,1.0
62,176,34,74,0.062,Baby_Scratch,1,1,1,0.494
62,182,34,74,0.062,Baby_Scratch,1,1,1,1.0
64,176,34,74,0.063,Baby_Scratch,1,1,1,0.504
64,182,34,74,0.063,Baby_Scratch,1,1,1,1.0
65,176,34,77,0.064,Baby_Scratch,1,1,1,0.517
65,182,34,77,0.064,Baby_Scratch,1,1,1,1.0
66,176,34,74,0.065,Baby_Scratch,1,1,1,0.527
66,182,34,74,0.065,Baby_Scratch,1,1,1,1.0
66,176,34,74,0.066,Baby_Scratch,1,1,1,0.527
66,182,34,74,0.065,Baby_Scratch,1,1,1,1.0
67,176,34,74,0.067,Baby_Scratch,1,1,1,0.547
67,182,34,74,0.067,Baby_Scratch,1,1,1,1.0
69,176,34,75,0.068,Baby_Scratch,1,1,1,0.558
69,182,34,75,0.068,Baby_Scratch,1,1,1,1.0
70,176,34,76,0.069,Baby_Scratch,1,1,1,0.5700000000000001
70,182,34,76,0.069,Baby_Scratch,1,1,1,1.0
71,176,34,75,0.07,Baby_Scratch,1,1,1,0.5810000000000001
71,182,34,75,0.07,Baby_Scratch,1,1,1,1.0
72,176,34,75,0.071,Baby_Scratch,1,1,1,0.592
72,182,34,75,0.071,Baby_Scratch,1,1,1,1.0
73,176,34,75,0.072,Baby_Scratch,1,1,1,0.603
73,182,34,75,0.072,Baby_Scratch,1,1,1,1.0
74,176,34,75,0.073,Baby_Scratch,1,1,1,0.614
74,182,34,75,0.073,Baby_Scratch,1,1,1,1.0
75,176,34,74,0.074,Baby_Scratch,1,1,1,0.624
75,182,34,74,0.074,Baby_Scratch,1,1,1,1.0
75,176,34,74,0.075,Baby_Scratch,1,1,1,0.624
75,182,34,74,0.074,Baby_Scratch,1,1,1,1.0
76,176,34,76,0.076,Baby_Scratch,1,1,1,0.648
76,182,34,76,0.076,Baby_Scratch,1,1,1,1.0
78,176,34,75,0.077,Baby_Scratch,1,1,1,0.659
78,182,34,75,0.077,Baby_Scratch,1,1,1,1.0
79,176,34,75,0.078,Baby_Scratch,1,1,1,0.67
79,182,34,75,0.078,Baby_Scratch,1,1,1,1.0
80,176,34,75,0.079,Baby_Scratch,1,1,1,0.681
80,182,34,75,0.079,Baby_Scratch,1,1,1,1.0
81,176,34,77,0.08,Baby_Scratch,1,1,1,0.6940000000000001
81,182,34,77,0.08,Baby_Scratch,1,1,1,1.0
82,176,34,74,0.081,Baby_Scratch,1,1,1,0.7040000000000001
82,182,34,74,0.081,Baby_Scratch,1,1,1,1.0
83,176,34,75,0.082,Baby_Scratch,1,1,1,0.7150000000000001
83,182,34,75,0.082,Baby_Scratch,1,1,1,1.0
84,176,34,75,0.083,Baby_Scratch,1,1,1,0.7260000000000001
84,182,34,75,0.083,Baby_Scratch,1,1,1,1.0
85,176,34,75,0.084,Baby_Scratch,1,1,1,0.7370000000000001
85,182,34,75,0.084,Baby_Scratch,1,1,1,1.0
86,176,34,76,0.085,Baby_Scratch,1,1,1,0.7490000000000001
86,182,34,76,0.085,Baby_Scratch,1,1,1,1.0
87,176,34,75,0.086,Baby_Scratch,1,1,1,0.76
87,182,34,75,0.086,Baby_Scratch,1,1,1,1.0
88,176,34,75,0.087,Baby_Scratch,1,1,1,0.771
88,182,34,75,0.087,Baby_Scratch,1,1,1,1.0
88,176,34,75,0.088,Baby_Scratch,1,1,1,0.771
88,182,34,75,0.087,Baby_Scratch,1,1,1,1.0
89,176,34,75,0.089,Baby_Scratch,1,1,1,0.793
89,182,34,75,0.089,Baby_Scratch,1,1,1,1.0
90,176,34,74,0.09,Baby_Scratch,1,1,1,0.803
90,182,34,74,0.09,Baby_Scratch,1,1,1,1.0
92,176,34,75,0.091,Baby_Scratch,1,1,1,0.8140000000000001
92,182,34,75,0.091,Baby_Scratch,1,1,1,1.0
93,176,34,74,0.092,Baby_Scratch,1,1,1,0.8240000000000001
93,182,34,74,0.092,Baby_Scratch,1,1,1,1.0
94,176,34,74,0.093,Baby_Scratch,1,1,1,0.8340000000000001
94,182,34,74,0.093,Baby_Scratch,1,1,1,1.0
95,176,34,75,0.094,Baby_Scratch,1,1,1,0.8450000000000001
95,182,34,75,0.094,Baby_Scratch,1,1,1,1.0
96,176,34,76,0.095,Baby_Scratch,1,1,1,0.8570000000000001
96,182,34,76,0.095,Baby_Scratch,1,1,1,1.0
97,176,34,74,0.096,Baby_Scratch,1,1,1,0.8670000000000001
97,182,34,74,0.096,Baby_Scratch,1,1,1,1.0
98,176,34,74,0.097,Baby_Scratch,1,1,1,0.8770000000000001
98,182,34,74,0.097,Baby_Scratch,1,1,1,1.0
99,176,34,75,0.098,Baby_Scratch,1,1,1,0.8880000000000001
99,182,34,75,0.098,Baby_Scratch,1,1,1,1.0
99,176,34,75,0.099,Baby_Scratch,1,1,1,0.8880000000000001
