,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
1,176,34,66,0.0,Chirp,1,1,1,0.0
62,182,31,114,0.0,Chirp,1,1,1,1.148984375
2,176,34,67,0.001,Chirp,1,1,1,0.003
62,182,31,114,0.001,Chirp,1,1,1,1.148984375
3,176,34,68,0.002,Chirp,1,1,1,0.007
62,182,31,114,0.002,Chirp,1,1,1,1.148984375
4,176,34,67,0.003,Chirp,1,1,1,0.01
62,182,31,114,0.003,Chirp,1,1,1,1.148984375
5,176,34,68,0.004,Chirp,1,1,1,0.014
62,182,31,114,0.004,Chirp,1,1,1,1.148984375
6,176,34,68,0.005,Chirp,1,1,1,0.022
62,182,31,114,0.005,Chirp,1,1,1,1.148984375
6,176,34,68,0.006,Chirp,1,1,1,0.022
62,182,31,114,0.006,Chirp,1,1,1,1.148984375
8,176,34,70,0.007,Chirp,1,1,1,0.027999999999999997
62,182,31,114,0.007,Chirp,1,1,1,1.148984375
9,176,34,70,0.008,Chirp,1,1,1,0.033999999999999996
62,182,31,114,0.008,Chirp,1,1,1,1.148984375
10,176,34,70,0.009,Chirp,1,1,1,0.039999999999999994
62,182,31,114,0.009000000000000001,Chirp,1,1,1,1.148984375
11,176,34,71,0.01,Chirp,1,1,1,0.047
62,182,31,114,0.01,Chirp,1,1,1,1.148984375
12,176,34,72,0.011,Chirp,1,1,1,0.05499999999999999
62,182,31,114,0.011,Chirp,1,1,1,1.148984375
13,176,34,73,0.012,Chirp,1,1,1,0.064
62,182,31,114,0.012,Chirp,1,1,1,1.148984375
14,176,34,71,0.013,Chirp,1,1,1,0.071
62,182,31,114,0.013000000000000001,Chirp,1,1,1,1.148984375
15,176,34,71,0.014,Chirp,1,1,1,0.078
62,182,31,114,0.014,Chirp,1,1,1,1.148984375
16,176,34,72,0.015,Chirp,1,1,1,0.086
62,182,31,114,0.015,Chirp,1,1,1,1.148984375
17,176,34,72,0.016,Chirp,1,1,1,0.094
62,182,31,114,0.016,Chirp,1,1,1,1.148984375
18,176,34,74,0.017,Chirp,1,1,1,0.10400000000000001
62,182,31,114,0.017,Chirp,1,1,1,1.148984375
19,176,34,72,0.018,Chirp,1,1,1,0.11199999999999999
62,182,31,114,0.018000000000000002,Chirp,1,1,1,1.148984375
20,176,34,73,0.019,Chirp,1,1,1,0.121
62,182,31,114,0.019,Chirp,1,1,1,1.148984375
21,176,34,74,0.02,Chirp,1,1,1,0.131
62,182,31,114,0.02,Chirp,1,1,1,1.148984375
22,176,34,74,0.021,Chirp,1,1,1,0.14100000000000001
62,182,31,114,0.021,Chirp,1,1,1,1.148984375
23,176,34,75,0.022,Chirp,1,1,1,0.152
62,182,31,114,0.022,Chirp,1,1,1,1.148984375
24,176,34,73,0.023,Chirp,1,1,1,0.161
62,182,31,114,0.023,Chirp,1,1,1,1.148984375
25,176,34,73,0.024,Chirp,1,1,1,0.17
62,182,31,114,0.024,Chirp,1,1,1,1.148984375
26,176,34,75,0.025,Chirp,1,1,1,0.18100000000000002
62,182,31,114,0.025,Chirp,1,1,1,1.148984375
27,176,34,75,0.026,Chirp,1,1,1,0.192
62,182,31,114,0.026000000000000002,Chirp,1,1,1,1.148984375
28,176,34,77,0.027,Chirp,1,1,1,0.20500000000000002
62,182,31,114,0.027,Chirp,1,1,1,1.148984375
29,176,34,74,0.028,Chirp,1,1,1,0.21500000000000002
62,182,31,114,0.028,Chirp,1,1,1,1.148984375
30,176,34,75,0.029,Chirp,1,1,1,0.22600000000000003
62,182,31,114,0.029,Chirp,1,1,1,1.148984375
31,176,34,74,0.03,Chirp,1,1,1,0.23600000000000002
62,182,31,114,0.03,Chirp,1,1,1,1.148984375
32,176,34,75,0.031,Chirp,1,1,1,0.24700000000000003
62,182,31,114,0.031,Chirp,1,1,1,1.148984375
33,176,34,77,0.032,Chirp,1,1,1,0.26
62,182,31,114,0.032,Chirp,1,1,1,1.148984375
34,176,34,75,0.033,Chirp,1,1,1,0.271
62,182,31,114,0.033,Chirp,1,1,1,1.148984375
35,176,34,76,0.034,Chirp,1,1,1,0.29500000000000004
62,182,31,114,0.034,Chirp,1,1,1,1.148984375
35,176,34,76,0.035,Chirp,1,1,1,0.29500000000000004
62,182,31,114,0.035,Chirp,1,1,1,1.148984375
37,176,34,76,0.036,Chirp,1,1,1,0.30699999999999994
62,182,31,114,0.036000000000000004,Chirp,1,1,1,1.148984375
38,176,34,78,0.037,Chirp,1,1,1,0.32099999999999995
62,182,31,114,0.037,Chirp,1,1,1,1.148984375
39,176,34,75,0.038,Chirp,1,1,1,0.33199999999999996
62,182,31,114,0.038,Chirp,1,1,1,1.148984375
40,176,34,75,0.039,Chirp,1,1,1,0.34299999999999997
62,182,31,114,0.039,Chirp,1,1,1,1.148984375
41,176,34,76,0.04,Chirp,1,1,1,0.355
62,182,31,114,0.04,Chirp,1,1,1,1.148984375
42,176,34,77,0.041,Chirp,1,1,1,0.368
62,182,31,114,0.041,Chirp,1,1,1,1.148984375
