,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
1,176,34,70,0.0,Flare,1,1,1,0.0
85,182,31,105,0.0,Flare,1,1,1,1.05828125
2,176,34,70,0.001,Flare,1,1,1,0.006
85,182,31,105,0.001,Flare,1,1,1,1.05828125
3,176,34,71,0.002,Flare,1,1,1,0.013000000000000001
85,182,31,105,0.002,Flare,1,1,1,1.05828125
4,176,34,71,0.003,Flare,1,1,1,0.02
85,182,31,105,0.003,Flare,1,1,1,1.05828125
5,176,34,70,0.004,Flare,1,1,1,0.026000000000000002
85,182,31,105,0.004,Flare,1,1,1,1.05828125
6,176,34,71,0.005,Flare,1,1,1,0.033
85,182,31,105,0.005,Flare,1,1,1,1.05828125
7,176,34,71,0.006,Flare,1,1,1,0.04
85,182,31,105,0.006,Flare,1,1,1,1.05828125
8,176,34,70,0.007,Flare,1,1,1,0.046
85,182,31,105,0.007,Flare,1,1,1,1.05828125
9,176,34,73,0.008,Flare,1,1,1,0.055
85,182,31,105,0.008,Flare,1,1,1,1.05828125
10,176,34,71,0.009,Flare,1,1,1,0.06199999999999999
85,182,31,105,0.009000000000000001,Flare,1,1,1,1.05828125
11,176,34,71,0.01,Flare,1,1,1,0.069
85,182,31,105,0.01,Flare,1,1,1,1.05828125
12,176,34,71,0.011,Flare,1,1,1,0.076
85,182,31,105,0.011,Flare,1,1,1,1.05828125
13,176,34,72,0.012,Flare,1,1,1,0.092
85,182,31,105,0.012,Flare,1,1,1,1.05828125
13,176,34,72,0.013,Flare,1,1,1,0.092
85,182,31,105,0.013000000000000001,Flare,1,1,1,1.05828125
15,176,34,72,0.014,Flare,1,1,1,0.1
85,182,31,105,0.014,Flare,1,1,1,1.05828125
16,176,34,72,0.015,Flare,1,1,1,0.108
85,182,31,105,0.015,Flare,1,1,1,1.05828125
17,176,34,71,0.016,Flare,1,1,1,0.115
85,182,31,105,0.016,Flare,1,1,1,1.05828125
18,176,34,72,0.017,Flare,1,1,1,0.12300000000000001
85,182,31,105,0.017,Flare,1,1,1,1.05828125
19,176,34,73,0.018,Flare,1,1,1,0.13199999999999998
85,182,31,105,0.018000000000000002,Flare,1,1,1,1.05828125
20,176,34,72,0.019,Flare,1,1,1,0.13999999999999999
85,182,31,105,0.019,Flare,1,1,1,1.05828125
21,176,34,72,0.02,Flare,1,1,1,0.148
85,182,31,105,0.02,Flare,1,1,1,1.05828125
22,176,34,72,0.021,Flare,1,1,1,0.156
85,182,31,105,0.021,Flare,1,1,1,1.05828125
23,176,34,72,0.022,Flare,1,1,1,0.16399999999999998
85,182,31,105,0.022,Flare,1,1,1,1.05828125
24,176,34,74,0.023,Flare,1,1,1,0.174
85,182,31,105,0.023,Flare,1,1,1,1.05828125
25,176,34,73,0.024,Flare,1,1,1,0.183
85,182,31,105,0.024,Flare,1,1,1,1.05828125
26,176,34,71,0.025,Flare,1,1,1,0.19
85,182,31,105,0.025,Flare,1,1,1,1.05828125
27,176,34,73,0.026,Flare,1,1,1,0.19899999999999998
85,182,31,105,0.026000000000000002,Flare,1,1,1,1.05828125
28,176,34,72,0.027,Flare,1,1,1,0.207
85,182,31,105,0.027,Flare,1,1,1,1.05828125
29,176,34,74,0.028,Flare,1,1,1,0.217
85,182,31,105,0.028,Flare,1,1,1,1.05828125
30,176,34,72,0.029,Flare,1,1,1,0.225
85,182,31,105,0.029,Flare,1,1,1,1.05828125
31,176,34,73,0.03,Flare,1,1,1,0.23399999999999999
85,182,31,105,0.03,Flare,1,1,1,1.05828125
32,176,34,73,0.031,Flare,1,1,1,0.243
85,182,31,105,0.031,Flare,1,1,1,1.05828125
33,176,34,74,0.032,Flare,1,1,1,0.253
85,182,31,105,0.032,Flare,1,1,1,1.05828125
34,176,34,75,0.033,Flare,1,1,1,0.264
85,182,31,105,0.033,Flare,1,1,1,1.05828125
35,176,34,73,0.034,Flare,1,1,1,0.273
85,182,31,105,0.034,Flare,1,1,1,1.05828125
36,176,34,73,0.035,Flare,1,1,1,0.28200000000000003
85,182,31,105,0.035,Flare,1,1,1,1.05828125
37,176,34,72,0.036,Flare,1,1,1,0.29
85,182,31,105,0.036000000000000004,Flare,1,1,1,1.05828125
38,176,34,73,0.037,Flare,1,1,1,0.299
85,182,31,105,0.037,Flare,1,1,1,1.05828125
39,176,34,76,0.038,Flare,1,1,1,0.311
85,182,31,105,0.038,Flare,1,1,1,1.05828125
40,176,34,74,0.039,Flare,1,1,1,0.321
85,182,31,105,0.039,Flare,1,1,1,1.05828125
41,176,34,74,0.04,Flare,1,1,1,0.331
85,182,31,105,0.04,Flare,1,1,1,1.05828125
42,176,34,74,0.041,Flare,1,1,1,0.341
85,182,31,105,0.041,Flare,1,1,1,1.05828125
43,176,34,73,0.042,Flare,1,1,1,0.35000000000000003
85,182,31,105,0.042,Flare,1,1,1,1.05828125
44,176,34,75,0.043000000000000003,Flare,1,1,1,0.372
85,182,31,105,0.043000000000000003,Flare,1,1,1,1.05828125
44,176,34,75,0.044,Flare,1,1,1,0.372
85,182,31,105,0.044,Flare,1,1,1,1.05828125
46,176,34,74,0.045,Flare,1,1,1,0.382
85,182,31,105,0.045,Flare,1,1,1,1.05828125
47,176,34,74,0.046,Flare,1,1,1,0.392
85,182,31,105,0.046,Flare,1,1,1,1.05828125
48,176,34,74,0.047,Flare,1,1,1,0.402
85,182,31,105,0.047,Flare,1,1,1,1.05828125
49,176,34,77,0.048,Flare,1,1,1,0.41500000000000004
85,182,31,105,0.048,Flare,1,1,1,1.05828125
50,176,34,74,0.049,Flare,1,1,1,0.42500000000000004
85,182,31,105,0.049,Flare,1,1,1,1.05828125
51,176,34,75,0.05,Flare,1,1,1,0.43600000000000005
85,182,31,105,0.05,Flare,1,1,1,1.05828125
52,176,34,74,0.051,Flare,1,1,1,0.446
85,182,31,105,0.051000000000000004,Flare,1,1,1,1.05828125
53,176,34,72,0.052,Flare,1,1,1,0.454
85,182,31,105,0.052000000000000005,Flare,1,1,1,1.05828125
54,176,34,74,0.053,Flare,1,1,1,0.464
85,182,31,105,0.053,Flare,1,1,1,1.05828125
55,176,34,75,0.054,Flare,1,1,1,0.47500000000000003
85,182,31,105,0.054,Flare,1,1,1,1.05828125
56,176,34,76,0.055,Flare,1,1,1,0.48700000000000004
85,182,31,105,0.055,Flare,1,1,1,1.05828125
57,176,34,74,0.056,Flare,1,1,1,0.49700000000000005
85,182,31,105,0.056,Flare,1,1,1,1.05828125
58,176,34,74,0.057,Flare,1,1,1,0.5070000000000001
85,182,31,105,0.057,Flare,1,1,1,1.05828125
59,176,34,74,0.058,Flare,1,1,1,0.5170000000000001
85,182,31,105,0.058,Flare,1,1,1,1.05828125
60,176,34,76,0.059,Flare,1,1,1,0.529
85,182,31,105,0.059000000000000004,Flare,1,1,1,1.05828125
61,176,34,74,0.06,Flare,1,1,1,0.549
85,182,31,105,0.06,Flare,1,1,1,1.05828125
61,176,34,74,0.061,Flare,1,1,1,0.549
85,182,31,105,0.061,Flare,1,1,1,1.05828125
