,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
1,176,34,66,0.048,Stab,1,1,1,0.0
33,182,31,127,0.048,Stab,1,1,1,1.279765625
2,176,34,66,0.049,Stab,1,1,1,0.0020000000000000018
33,182,31,127,0.049,Stab,1,1,1,1.279765625
3,176,34,66,0.05,Stab,1,1,1,0.0040000000000000036
33,182,31,127,0.05,Stab,1,1,1,1.279765625
4,176,34,67,0.051,Stab,1,1,1,0.006999999999999985
33,182,31,127,0.051000000000000004,Stab,1,1,1,1.279765625
5,176,34,67,0.052,Stab,1,1,1,0.009999999999999988
33,182,31,127,0.052000000000000005,Stab,1,1,1,1.279765625
6,176,34,67,0.053,Stab,1,1,1,0.015999999999999993
33,182,31,127,0.053,Stab,1,1,1,1.279765625
6,176,34,67,0.054,Stab,1,1,1,0.015999999999999993
33,182,31,127,0.054,Stab,1,1,1,1.279765625
8,176,34,67,0.055,Stab,1,1,1,0.018999999999999996
33,182,31,127,0.055,Stab,1,1,1,1.279765625
9,176,34,68,0.056,Stab,1,1,1,0.027000000000000003
33,182,31,127,0.056,Stab,1,1,1,1.279765625
9,176,34,68,0.057,Stab,1,1,1,0.027000000000000003
33,182,31,127,0.057,Stab,1,1,1,1.279765625
11,176,34,68,0.058,Stab,1,1,1,0.031000000000000007
33,182,31,127,0.058,Stab,1,1,1,1.279765625
12,176,34,68,0.059,Stab,1,1,1,0.038999999999999986
33,182,31,127,0.059,Stab,1,1,1,1.279765625
12,176,34,68,0.06,Stab,1,1,1,0.038999999999999986
33,182,31,127,0.06,Stab,1,1,1,1.279765625
14,176,34,69,0.061,Stab,1,1,1,0.04399999999999999
33,182,31,127,0.061,Stab,1,1,1,1.279765625
15,176,34,70,0.062,Stab,1,1,1,0.049999999999999996
33,182,31,127,0.062,Stab,1,1,1,1.279765625
16,176,34,70,0.063,Stab,1,1,1,0.056
33,182,31,127,0.063,Stab,1,1,1,1.279765625
17,176,34,70,0.064,Stab,1,1,1,0.062000000000000006
33,182,31,127,0.064,Stab,1,1,1,1.279765625
18,176,34,70,0.065,Stab,1,1,1,0.068
33,182,31,127,0.065,Stab,1,1,1,1.279765625
19,176,34,71,0.066,Stab,1,1,1,0.07500000000000001
33,182,31,127,0.066,Stab,1,1,1,1.279765625
20,176,34,74,0.067,Stab,1,1,1,0.09500000000000003
33,182,31,127,0.067,Stab,1,1,1,1.279765625
20,176,34,74,0.068,Stab,1,1,1,0.09500000000000003
33,182,31,127,0.068,Stab,1,1,1,1.279765625
22,176,34,72,0.069,Stab,1,1,1,0.11100000000000004
33,182,31,127,0.069,Stab,1,1,1,1.279765625
22,176,34,72,0.07,Stab,1,1,1,0.11100000000000004
33,182,31,127,0.07,Stab,1,1,1,1.279765625
24,176,34,72,0.071,Stab,1,1,1,0.11899999999999994
33,182,31,127,0.07100000000000001,Stab,1,1,1,1.279765625
25,176,34,74,0.072,Stab,1,1,1,0.12899999999999995
33,182,31,127,0.07200000000000001,Stab,1,1,1,1.279765625
26,176,34,74,0.073,Stab,1,1,1,0.13899999999999996
33,182,31,127,0.07300000000000001,Stab,1,1,1,1.279765625
27,176,34,75,0.074,Stab,1,1,1,0.14999999999999997
33,182,31,127,0.07400000000000001,Stab,1,1,1,1.279765625
28,176,34,75,0.075,Stab,1,1,1,0.16099999999999998
33,182,31,127,0.075,Stab,1,1,1,1.279765625
29,176,34,75,0.076,Stab,1,1,1,0.172
33,182,31,127,0.076,Stab,1,1,1,1.279765625
30,176,34,75,0.077,Stab,1,1,1,0.183
33,182,31,127,0.077,Stab,1,1,1,1.279765625
31,176,34,77,0.078,Stab,1,1,1,0.196
33,182,31,127,0.078,Stab,1,1,1,1.279765625
32,176,34,75,0.079,Stab,1,1,1,0.20700000000000002
33,182,31,127,0.079,Stab,1,1,1,1.279765625
35,176,34,77,0.08,Stab,1,1,1,0.22000000000000003
33,182,31,127,0.08,Stab,1,1,1,1.279765625
38,176,34,78,0.081,Stab,1,1,1,0.23400000000000004
36,182,31,125,0.081,Stab,1,1,1,1.25953125
41,176,34,78,0.082,Stab,1,1,1,0.26200000000000007
39,182,31,122,0.082,Stab,1,1,1,1.22921875
41,176,34,78,0.083,Stab,1,1,1,0.26200000000000007
39,182,31,122,0.083,Stab,1,1,1,1.22921875
47,176,34,78,0.084,Stab,1,1,1,0.2760000000000001
45,182,31,118,0.084,Stab,1,1,1,1.1890625
51,176,34,79,0.085,Stab,1,1,1,0.2910000000000001
48,182,31,116,0.085,Stab,1,1,1,1.167265625
53,176,34,80,0.086,Stab,1,1,1,0.3069999999999999
52,182,63,93,0.086,Stab,1,1,1,0.938828125
56,176,34,79,0.087,Stab,1,1,1,0.3219999999999999
54,182,31,113,0.087,Stab,1,1,1,1.138671875
59,176,34,84,0.088,Stab,1,1,1,0.3419999999999999
57,182,31,111,0.088,Stab,1,1,1,1.11859375
62,176,34,80,0.089,Stab,1,1,1,0.35799999999999993
60,182,31,110,0.089,Stab,1,1,1,1.1084375
65,176,34,81,0.09,Stab,1,1,1,0.37499999999999994
63,182,31,108,0.09,Stab,1,1,1,1.088359375
68,176,34,81,0.091,Stab,1,1,1,0.39199999999999996
66,182,31,107,0.091,Stab,1,1,1,1.07828125
71,176,34,82,0.092,Stab,1,1,1,0.41
69,182,31,106,0.092,Stab,1,1,1,1.06828125
74,176,34,86,0.093,Stab,1,1,1,0.432
72,182,31,106,0.093,Stab,1,1,1,1.068125
77,176,34,83,0.094,Stab,1,1,1,0.451
75,182,31,104,0.094,Stab,1,1,1,1.048046875
82,176,34,83,0.095,Stab,1,1,1,0.47000000000000003
78,182,31,103,0.095,Stab,1,1,1,1.03796875
83,176,34,82,0.096,Stab,1,1,1,0.48800000000000004
84,182,31,102,0.096,Stab,1,1,1,1.027890625
86,176,34,84,0.097,Stab,1,1,1,0.508
84,182,31,102,0.097,Stab,1,1,1,1.027890625
89,176,34,88,0.098,Stab,1,1,1,0.532
87,182,31,101,0.098,Stab,1,1,1,1.017734375
90,176,34,85,0.099,Stab,1,1,1,0.553
91,182,31,99,0.099,Stab,1,1,1,0.99765625
93,176,34,84,0.1,Stab,1,1,1,0.5730000000000001
91,182,31,99,0.1,Stab,1,1,1,0.99765625
94,176,34,85,0.101,Stab,1,1,1,0.5940000000000001
95,182,31,98,0.101,Stab,1,1,1,0.987578125
97,176,34,85,0.102,Stab,1,1,1,0.6149999999999998
95,182,31,98,0.102,Stab,1,1,1,0.987578125
98,176,34,90,0.103,Stab,1,1,1,0.6409999999999998
100,182,31,97,0.10300000000000001,Stab,1,1,1,0.9775
99,176,34,86,0.104,Stab,1,1,1,0.6629999999999998
100,182,31,97,0.10400000000000001,Stab,1,1,1,0.9775
102,176,34,86,0.105,Stab,1,1,1,0.6849999999999998
100,182,31,97,0.105,Stab,1,1,1,0.9775
103,176,34,87,0.106,Stab,1,1,1,0.7079999999999999
105,182,31,96,0.10600000000000001,Stab,1,1,1,0.967578125
104,176,34,86,0.107,Stab,1,1,1,0.7299999999999999
105,182,31,96,0.10700000000000001,Stab,1,1,1,0.967578125
107,176,34,91,0.108,Stab,1,1,1,0.7569999999999999
105,182,31,96,0.108,Stab,1,1,1,0.967578125
108,176,34,87,0.109,Stab,1,1,1,0.7799999999999999
125,182,31,97,0.109,Stab,1,1,1,0.97765625
109,176,34,87,0.11,Stab,1,1,1,0.8029999999999999
125,182,31,97,0.11,Stab,1,1,1,0.97765625
110,176,34,87,0.111,Stab,1,1,1,0.826
125,182,31,97,0.111,Stab,1,1,1,0.97765625
111,176,34,88,0.112,Stab,1,1,1,0.85
125,182,31,97,0.112,Stab,1,1,1,0.97765625
112,176,34,92,0.113,Stab,1,1,1,0.878
125,182,31,97,0.113,Stab,1,1,1,0.97765625
113,176,34,88,0.114,Stab,1,1,1,0.902
125,182,31,97,0.114,Stab,1,1,1,0.97765625
114,176,34,89,0.115,Stab,1,1,1,0.927
125,182,31,97,0.115,Stab,1,1,1,0.97765625
115,176,34,87,0.116,Stab,1,1,1,0.9500000000000001
125,182,31,97,0.116,Stab,1,1,1,0.97765625
116,176,34,89,0.117,Stab,1,1,1,0.9750000000000001
125,182,31,97,0.117,Stab,1,1,1,0.97765625
117,176,34,93,0.118,Stab,1,1,1,1.0039999999999998
125,182,31,97,0.11800000000000001,Stab,1,1,1,0.97765625
118,176,34,89,0.119,Stab,1,1,1,1.029
125,182,31,97,0.11900000000000001,Stab,1,1,1,0.97765625
119,176,34,88,0.12,Stab,1,1,1,1.053
125,182,31,97,0.12000000000000001,Stab,1,1,1,0.97765625
120,176,34,89,0.121,Stab,1,1,1,1.0779999999999998
125,182,31,97,0.121,Stab,1,1,1,0.97765625
121,176,34,88,0.122,Stab,1,1,1,1.1019999999999999
125,182,31,97,0.122,Stab,1,1,1,0.97765625
122,176,34,94,0.123,Stab,1,1,1,1.132
125,182,31,97,0.123,Stab,1,1,1,0.97765625
123,176,34,88,0.124,Stab,1,1,1,1.156
125,182,31,97,0.124,Stab,1,1,1,0.97765625
124,176,34,89,0.125,Stab,1,1,1,1.181
125,182,31,97,0.125,Stab,1,1,1,0.97765625
127,176,34,88,0.126,Stab,1,1,1,1.205
125,182,31,97,0.126,Stab,1,1,1,0.97765625
128,176,34,88,0.127,Stab,1,1,1,1.229
130,182,31,98,0.127,Stab,1,1,1,0.987734375
129,176,34,89,0.128,Stab,1,1,1,1.254
130,182,31,98,0.128,Stab,1,1,1,0.987734375
132,176,34,92,0.129,Stab,1,1,1,1.282
130,182,31,98,0.129,Stab,1,1,1,0.987734375
135,176,34,88,0.13,Stab,1,1,1,1.306
133,182,31,99,0.13,Stab,1,1,1,0.9978125
136,176,34,88,0.131,Stab,1,1,1,1.33
137,182,31,100,0.131,Stab,1,1,1,1.007890625
141,176,34,87,0.132,Stab,1,1,1,1.3530000000000002
137,182,31,100,0.132,Stab,1,1,1,1.007890625
144,176,34,88,0.133,Stab,1,1,1,1.3770000000000002
142,182,31,101,0.133,Stab,1,1,1,1.01796875
147,176,34,92,0.134,Stab,1,1,1,1.4050000000000002
145,182,31,102,0.134,Stab,1,1,1,1.028046875
150,176,34,87,0.135,Stab,1,1,1,1.4280000000000004
148,182,31,103,0.135,Stab,1,1,1,1.038125
155,176,34,85,0.136,Stab,1,1,1,1.4490000000000003
151,182,31,104,0.136,Stab,1,1,1,1.04828125
157,176,34,85,0.137,Stab,1,1,1,1.4700000000000002
156,182,31,106,0.137,Stab,1,1,1,1.0646875
159,176,34,84,0.138,Stab,1,1,1,1.4900000000000002
158,182,63,60,0.138,Stab,1,1,1,0.608359375
162,176,34,89,0.139,Stab,1,1,1,1.5150000000000001
160,182,31,107,0.139,Stab,1,1,1,1.0784375
165,176,34,83,0.14,Stab,1,1,1,1.5340000000000003
163,182,31,108,0.14,Stab,1,1,1,1.08859375
170,176,34,84,0.141,Stab,1,1,1,1.5539999999999998
166,182,31,110,0.141,Stab,1,1,1,1.10875
173,176,34,84,0.142,Stab,1,1,1,1.5739999999999998
171,182,31,112,0.142,Stab,1,1,1,1.12890625
174,176,34,82,0.143,Stab,1,1,1,1.5919999999999999
175,182,31,114,0.14300000000000002,Stab,1,1,1,1.148984375
177,176,34,85,0.144,Stab,1,1,1,1.613
175,182,31,114,0.144,Stab,1,1,1,1.148984375
180,176,34,82,0.145,Stab,1,1,1,1.631
178,182,31,115,0.145,Stab,1,1,1,1.159140625
183,176,34,80,0.146,Stab,1,1,1,1.647
181,182,31,117,0.146,Stab,1,1,1,1.179296875
188,176,34,80,0.147,Stab,1,1,1,1.663
184,182,31,119,0.147,Stab,1,1,1,1.19953125
189,176,34,78,0.148,Stab,1,1,1,1.677
190,182,31,122,0.14800000000000002,Stab,1,1,1,1.229609375
192,176,34,81,0.149,Stab,1,1,1,1.694
190,182,31,122,0.149,Stab,1,1,1,1.229609375
196,176,34,78,0.15,Stab,1,1,1,1.708
193,182,31,123,0.15,Stab,1,1,1,1.233671875
198,176,34,78,0.151,Stab,1,1,1,1.722
197,182,63,47,0.151,Stab,1,1,1,0.479921875
202,176,34,77,0.152,Stab,1,1,1,1.7349999999999999
199,182,31,127,0.152,Stab,1,1,1,1.279921875
204,176,34,76,0.153,Stab,1,1,1,1.7469999999999999
203,182,63,127,0.153,Stab,1,1,1,1.279921875
205,176,34,78,0.154,Stab,1,1,1,1.761
203,182,63,127,0.154,Stab,1,1,1,1.279921875
206,176,34,74,0.155,Stab,1,1,1,1.771
203,182,63,127,0.155,Stab,1,1,1,1.279921875
207,176,34,73,0.156,Stab,1,1,1,1.7799999999999998
203,182,63,127,0.156,Stab,1,1,1,1.279921875
208,176,34,73,0.157,Stab,1,1,1,1.7889999999999997
203,182,63,127,0.157,Stab,1,1,1,1.279921875
209,176,34,71,0.158,Stab,1,1,1,1.7959999999999998
203,182,63,127,0.158,Stab,1,1,1,1.279921875
210,176,34,71,0.159,Stab,1,1,1,1.803
203,182,63,127,0.159,Stab,1,1,1,1.279921875
211,176,34,70,0.16,Stab,1,1,1,1.809
203,182,63,127,0.16,Stab,1,1,1,1.279921875
212,176,34,69,0.161,Stab,1,1,1,1.814
203,182,63,127,0.161,Stab,1,1,1,1.279921875
213,176,34,69,0.162,Stab,1,1,1,1.819
203,182,63,127,0.162,Stab,1,1,1,1.279921875
214,176,34,68,0.163,Stab,1,1,1,1.823
203,182,63,127,0.163,Stab,1,1,1,1.279921875
215,176,34,69,0.164,Stab,1,1,1,1.8279999999999998
203,182,63,127,0.164,Stab,1,1,1,1.279921875
216,176,34,66,0.165,Stab,1,1,1,1.8299999999999998
203,182,63,127,0.165,Stab,1,1,1,1.279921875
217,176,34,66,0.166,Stab,1,1,1,1.8319999999999999
203,182,63,127,0.166,Stab,1,1,1,1.279921875
218,176,34,65,0.167,Stab,1,1,1,1.8329999999999997
203,182,63,127,0.167,Stab,1,1,1,1.279921875
219,176,34,63,0.16799999999999998,Stab,1,1,1,1.8309999999999997
203,182,63,127,0.16799999999999998,Stab,1,1,1,1.279921875
203,182,63,127,0.16899999999999998,Stab,1,1,1,1.279921875
219,176,34,63,0.169,Stab,1,1,1,1.8309999999999997
203,182,63,127,0.16999999999999998,Stab,1,1,1,1.279921875
220,176,34,63,0.17,Stab,1,1,1,1.8299999999999996
203,182,63,127,0.17099999999999999,Stab,1,1,1,1.279921875
221,176,34,62,0.171,Stab,1,1,1,1.8279999999999996
222,176,34,62,0.172,Stab,1,1,1,1.8259999999999996
203,182,63,127,0.172,Stab,1,1,1,1.279921875
223,176,34,62,0.173,Stab,1,1,1,1.8239999999999996
203,182,63,127,0.173,Stab,1,1,1,1.279921875
224,176,34,60,0.174,Stab,1,1,1,1.8199999999999996
203,182,63,127,0.174,Stab,1,1,1,1.279921875
225,176,34,61,0.175,Stab,1,1,1,1.8169999999999997
203,182,63,127,0.175,Stab,1,1,1,1.279921875
226,176,34,61,0.176,Stab,1,1,1,1.8139999999999996
203,182,63,127,0.176,Stab,1,1,1,1.279921875
227,176,34,60,0.177,Stab,1,1,1,1.8099999999999996
203,182,63,127,0.177,Stab,1,1,1,1.279921875
228,176,34,59,0.178,Stab,1,1,1,1.8049999999999997
203,182,63,127,0.178,Stab,1,1,1,1.279921875
229,176,34,58,0.179,Stab,1,1,1,1.7989999999999997
203,182,63,127,0.179,Stab,1,1,1,1.279921875
230,176,34,59,0.18,Stab,1,1,1,1.7939999999999996
203,182,63,127,0.18,Stab,1,1,1,1.279921875
231,176,34,58,0.181,Stab,1,1,1,1.7879999999999996
