,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
63528,34435,176,34,70,0.0,Flare,1,5,41,-220.032
63529,34468,182,31,92,0.0,Flare,1,5,41,0.927265625
63530,34436,176,34,71,0.001,Flare,1,5,41,-220.025
63531,34468,182,31,92,0.001,Flare,1,5,41,0.927265625
63532,34437,176,34,70,0.002,Flare,1,5,41,-220.019
63533,34468,182,31,92,0.002,Flare,1,5,41,0.927265625
63534,34438,176,34,71,0.003,Flare,1,5,41,-220.012
63535,34468,182,31,92,0.003,Flare,1,5,41,0.927265625
63536,34439,176,34,72,0.004,Flare,1,5,41,-219.996
63537,34468,182,31,92,0.004,Flare,1,5,41,0.927265625
63538,34439,176,34,72,0.005,Flare,1,5,41,-219.996
63539,34468,182,31,92,0.005,Flare,1,5,41,0.927265625
63540,34441,176,34,72,0.006,Flare,1,5,41,-219.988
63541,34468,182,31,92,0.006,Flare,1,5,41,0.927265625
63542,34442,176,34,71,0.007,Flare,1,5,41,-219.981
63543,34468,182,31,92,0.007,Flare,1,5,41,0.927265625
63544,34443,176,34,71,0.008,Flare,1,5,41,-219.974
63545,34468,182,31,92,0.008,Flare,1,5,41,0.927265625
63546,34444,176,34,73,0.009,Flare,1,5,41,-219.965
63547,34468,182,31,92,0.009,Flare,1,5,41,0.927265625
63548,34445,176,34,72,0.01,Flare,1,5,41,-219.957
63549,34468,182,31,92,0.01,Flare,1,5,41,0.927265625
63550,34446,176,34,71,0.011,Flare,1,5,41,-219.95
63551,34468,182,31,92,0.011,Flare,1,5,41,0.927265625
63552,34447,176,34,72,0.012,Flare,1,5,41,-219.94199999999995
63553,34468,182,31,92,0.012,Flare,1,5,41,0.927265625
63554,34448,176,34,71,0.013,Flare,1,5,41,-219.93499999999997
63555,34468,182,31,92,0.013,Flare,1,5,41,0.927265625
63556,34449,176,34,74,0.014,Flare,1,5,41,-219.92499999999995
63557,34468,182,31,92,0.014,Flare,1,5,41,0.927265625
63558,34450,176,34,72,0.015,Flare,1,5,41,-219.909
63559,34468,182,31,92,0.015,Flare,1,5,41,0.927265625
63560,34450,176,34,72,0.016,Flare,1,5,41,-219.909
63561,34468,182,31,92,0.016,Flare,1,5,41,0.927265625
63562,34452,176,34,72,0.017,Flare,1,5,41,-219.90099999999995
63563,34468,182,31,92,0.017,Flare,1,5,41,0.927265625
63564,34453,176,34,73,0.018,Flare,1,5,41,-219.892
63565,34468,182,31,92,0.018,Flare,1,5,41,0.927265625
63566,34454,176,34,74,0.019,Flare,1,5,41,-219.882
63567,34468,182,31,92,0.019,Flare,1,5,41,0.927265625
63568,34455,176,34,72,0.02,Flare,1,5,41,-219.874
63569,34468,182,31,92,0.02,Flare,1,5,41,0.927265625
63570,34456,176,34,72,0.021,Flare,1,5,41,-219.866
63571,34468,182,31,92,0.021,Flare,1,5,41,0.927265625
63572,34457,176,34,73,0.022,Flare,1,5,41,-219.848
63573,34468,182,31,92,0.022,Flare,1,5,41,0.927265625
63574,34457,176,34,73,0.023,Flare,1,5,41,-219.848
63575,34468,182,31,92,0.023,Flare,1,5,41,0.927265625
63576,34459,176,34,73,0.024,Flare,1,5,41,-219.839
63577,34468,182,31,92,0.024,Flare,1,5,41,0.927265625
63578,34460,176,34,75,0.025,Flare,1,5,41,-219.828
63579,34468,182,31,92,0.025,Flare,1,5,41,0.927265625
63580,34461,176,34,73,0.026,Flare,1,5,41,-219.819
63581,34468,182,31,92,0.026,Flare,1,5,41,0.927265625
63582,34462,176,34,73,0.027,Flare,1,5,41,-219.81
